2024-09-30 13:34:58 [INFO]: Request: GET - /Transaction from ::1, Status Code: 200
2024-09-30 13:35:06 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 13:35:48 [INFO]: Request: PATCH - /Users/1 from ::1, Status Code: 200
2024-09-30 13:35:52 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 13:37:06 [INFO]: Request: POST - /Transaction from ::1, Status Code: 201
2024-09-30 13:37:11 [INFO]: Request: GET - /Transaction from ::1, Status Code: 200
2024-09-30 13:37:49 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 13:45:38 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 13:46:05 [INFO]: Request: GET - /Transaction from ::1, Status Code: 304
2024-09-30 13:46:49 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 14:08:42 [INFO]: Request: POST - /Users from ::1, Status Code: 201
2024-09-30 14:08:50 [INFO]: Request: POST - /auth/login from ::1, Status Code: 201
2024-09-30 17:55:18 [INFO]: Request: GET - /Transaction from ::1, Status Code: 304
2024-09-30 17:55:25 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 17:55:41 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 17:55:45 [INFO]: Request: GET - /Transaction from ::1, Status Code: 304
2024-09-30 17:55:49 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 17:55:50 [INFO]: Request: GET - /Users from ::1, Status Code: 304
2024-09-30 17:57:18 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 17:57:28 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 17:57:58 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 17:58:02 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 18:04:36 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:04:40 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 18:04:58 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 18:05:54 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 18:05:57 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 18:09:04 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:09:56 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:10:32 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:12:11 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:14:56 [ERROR]: Request: PATCH - /Transaction/1 from ::1, Status Code: 500
2024-09-30 18:24:08 [INFO]: Request: PATCH - /Transaction/1 from ::1, Status Code: 200
2024-09-30 18:31:22 [INFO]: Request: GET - /Users from ::1, Status Code: 200
2024-09-30 18:31:31 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 200
2024-09-30 18:34:54 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:55 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:56 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:56 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:56 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:56 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:34:56 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:37:28 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 401
2024-09-30 18:37:40 [INFO]: Request: POST - /auth/login from ::1, Status Code: 401
2024-09-30 18:40:18 [INFO]: Request: POST - /auth/login from ::1, Status Code: 201
2024-09-30 18:40:29 [INFO]: Request: GET - /Users/1 from ::1, Status Code: 200
